task_id,task_type,domain,prompt,expected_answer,expected_format,risk_level,safety_required,max_latency_ms,max_cost_usd,min_quality_score,allowed_model_classes,evaluation_slice,golden_label,latency_sensitive_flag,cost_sensitive_flag,domain_specialized_flag,created_at
task_00000,classification,finance,Synthetic finance request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in finance.,json,high,True,450,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_classification_high,finance:classification:high,True,True,False,2026-01-15T12:00:00+00:00
task_00001,extraction,healthcare,Synthetic healthcare request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in healthcare.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",healthcare_extraction_low,healthcare:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00002,summarization,insurance,Synthetic insurance request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in insurance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",insurance_summarization_low,insurance:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
task_00003,retrieval_qa,cybersecurity,Synthetic cybersecurity request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in cybersecurity.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",cybersecurity_retrieval_qa_high,cybersecurity:retrieval_qa:high,False,False,False,2026-01-15T12:00:00+00:00
task_00004,policy_answering,retail,Synthetic retail request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in retail.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",retail_policy_answering_high,retail:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00005,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00006,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00007,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00008,customer_support_response,general_business,Synthetic general_business request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in general_business.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",general_business_customer_support_response_low,general_business:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00009,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00010,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00011,batch_low_risk_summary,insurance,Synthetic insurance request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in insurance.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",insurance_batch_low_risk_summary_low,insurance:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00012,classification,retail,Synthetic retail request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in retail.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",retail_classification_low,retail:classification:low,False,False,False,2026-01-15T12:00:00+00:00
task_00013,extraction,customer_support,Synthetic customer_support request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in customer_support.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",customer_support_extraction_low,customer_support:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00014,summarization,legal,Synthetic legal request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in legal.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",legal_summarization_low,legal:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
task_00015,retrieval_qa,software_engineering,Synthetic software_engineering request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in software_engineering.,markdown,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",software_engineering_retrieval_qa_medium,software_engineering:retrieval_qa:medium,False,False,False,2026-01-15T12:00:00+00:00
task_00016,policy_answering,general_business,Synthetic general_business request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in general_business.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",general_business_policy_answering_high,general_business:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00017,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,True,True,2026-01-15T12:00:00+00:00
task_00018,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00019,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00020,customer_support_response,cybersecurity,Synthetic cybersecurity request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in cybersecurity.,markdown,medium,False,450,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",cybersecurity_customer_support_response_medium,cybersecurity:customer_support_response:medium,True,False,False,2026-01-15T12:00:00+00:00
task_00021,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00022,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00023,batch_low_risk_summary,legal,Synthetic legal request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in legal.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",legal_batch_low_risk_summary_low,legal:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00024,classification,general_business,Synthetic general_business request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in general_business.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",general_business_classification_low,general_business:classification:low,False,False,False,2026-01-15T12:00:00+00:00
task_00025,extraction,finance,Synthetic finance request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in finance.,json,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_extraction_medium,finance:extraction:medium,False,False,False,2026-01-15T12:00:00+00:00
task_00026,summarization,healthcare,Synthetic healthcare request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in healthcare.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",healthcare_summarization_low,healthcare:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
