model_id,model_name,provider_type,model_class,supported_task_types,supported_domains,quality_profile,latency_profile_ms,cost_per_1k_tokens,safety_profile,reliability_profile,max_context_tokens,version,stage,owner,limitations
fast_small_model,Fast Small Model,simulated,small_fast,"[""classification"", ""extraction"", ""summarization"", ""retrieval_qa"", ""policy_answering"", ""fraud_triage"", ""healthcare_claim_review"", ""finance_explanation"", ""customer_support_response"", ""code_assistance"", ""safety_sensitive_answer"", ""batch_low_risk_summary""]","[""finance"", ""healthcare"", ""insurance"", ""cybersecurity"", ""retail"", ""customer_support"", ""legal"", ""software_engineering"", ""general_business""]",0.66,220,0.00035,0.68,0.94,8000,1.0.0,production,AI Platform,Moderate reasoning and weaker high-risk safety.
balanced_general_model,Balanced General Model,simulated,general,"[""classification"", ""extraction"", ""summarization"", ""retrieval_qa"", ""policy_answering"", ""fraud_triage"", ""healthcare_claim_review"", ""finance_explanation"", ""customer_support_response"", ""code_assistance"", ""safety_sensitive_answer"", ""batch_low_risk_summary""]","[""finance"", ""healthcare"", ""insurance"", ""cybersecurity"", ""retail"", ""customer_support"", ""legal"", ""software_engineering"", ""general_business""]",0.79,650,0.0016,0.82,0.96,16000,2.2.0,production,AI Platform,Good default but not best on specialist domains.
accurate_large_model,Accurate Large Model,simulated,large_accurate,"[""classification"", ""extraction"", ""summarization"", ""retrieval_qa"", ""policy_answering"", ""fraud_triage"", ""healthcare_claim_review"", ""finance_explanation"", ""customer_support_response"", ""code_assistance"", ""safety_sensitive_answer"", ""batch_low_risk_summary""]","[""finance"", ""healthcare"", ""insurance"", ""cybersecurity"", ""retail"", ""customer_support"", ""legal"", ""software_engineering"", ""general_business""]",0.9,1350,0.006,0.87,0.95,64000,4.1.0,production,Applied AI,High quality but expensive and slower.
safety_guarded_model,Safety Guarded Model,simulated,safety_guarded,"[""classification"", ""extraction"", ""summarization"", ""retrieval_qa"", ""policy_answering"", ""fraud_triage"", ""healthcare_claim_review"", ""finance_explanation"", ""customer_support_response"", ""code_assistance"", ""safety_sensitive_answer"", ""batch_low_risk_summary""]","[""finance"", ""healthcare"", ""insurance"", ""cybersecurity"", ""retail"", ""customer_support"", ""legal"", ""software_engineering"", ""general_business""]",0.84,900,0.0038,0.96,0.97,32000,3.0.1,production,AI Governance,May refuse ambiguous requests.
finance_domain_model,Finance Domain Model,simulated,domain_finance,"[""classification"", ""extraction"", ""summarization"", ""retrieval_qa"", ""policy_answering"", ""fraud_triage"", ""finance_explanation""]","[""finance"", ""insurance"", ""general_business""]",0.86,780,0.0027,0.88,0.95,24000,1.8.0,production,Finance AI,Weak healthcare/legal generalization.
healthcare_domain_model,Healthcare Domain Model,simulated,domain_healthcare,"[""classification"", ""extraction"", ""summarization"", ""retrieval_qa"", ""policy_answering"", ""healthcare_claim_review"", ""safety_sensitive_answer""]","[""healthcare"", ""insurance"", ""legal"", ""general_business""]",0.87,820,0.003,0.94,0.96,24000,1.5.0,production,Healthcare AI,Conservative behavior and narrow domain fit.
code_specialist_model,Code Specialist Model,simulated,code_specialist,"[""code_assistance"", ""classification"", ""extraction"", ""summarization""]","[""software_engineering"", ""cybersecurity"", ""general_business""]",0.85,620,0.0022,0.76,0.94,32000,2.0.0,production,Developer Experience,Not allowed for regulated policy answers.
cheap_batch_model,Cheap Batch Model,simulated,batch_cheap,"[""classification"", ""extraction"", ""summarization"", ""batch_low_risk_summary""]","[""retail"", ""customer_support"", ""general_business""]",0.7,420,0.00018,0.7,0.93,12000,1.2.0,production,Batch AI,Poor high-risk reasoning.
experimental_canary_model,Experimental Canary Model,simulated,canary,"[""classification"", ""extraction"", ""summarization"", ""retrieval_qa"", ""policy_answering"", ""fraud_triage"", ""healthcare_claim_review"", ""finance_explanation"", ""customer_support_response"", ""code_assistance"", ""safety_sensitive_answer"", ""batch_low_risk_summary""]","[""finance"", ""healthcare"", ""insurance"", ""cybersecurity"", ""retail"", ""customer_support"", ""legal"", ""software_engineering"", ""general_business""]",0.86,720,0.0021,0.84,0.9,48000,0.9.0,canary,AI Research,Regression risk in healthcare/legal slices.
fallback_model,Fallback Model,simulated,fallback_safe,"[""classification"", ""extraction"", ""summarization"", ""retrieval_qa"", ""policy_answering"", ""fraud_triage"", ""healthcare_claim_review"", ""finance_explanation"", ""customer_support_response"", ""code_assistance"", ""safety_sensitive_answer"", ""batch_low_risk_summary""]","[""finance"", ""healthcare"", ""insurance"", ""cybersecurity"", ""retail"", ""customer_support"", ""legal"", ""software_engineering"", ""general_business""]",0.62,500,0.0009,0.91,0.99,16000,1.0.0,fallback,AI Platform,Reliable safe fallback with lower quality.
