task_id,model_id,response_text,simulated_quality_score,simulated_safety_score,simulated_latency_ms,simulated_cost_usd,simulated_reliability_score,simulated_refusal_flag,format_valid_flag,error_flag,timeout_flag,confidence_score
task_00000,fast_small_model,Simulated Fast Small Model response for classification in finance.,0.456,0.56,407,0.00049,0.94,False,False,False,False,0.652
task_00000,balanced_general_model,Simulated Balanced General Model response for classification in finance.,0.766,0.82,772,0.00224,0.96,False,True,False,True,0.8487
task_00000,accurate_large_model,Simulated Accurate Large Model response for classification in finance.,0.876,0.87,1367,0.0084,0.95,False,True,False,True,0.8987
task_00000,safety_guarded_model,Simulated Safety Guarded Model response for classification in finance.,0.816,0.99,985,0.00532,0.97,True,True,False,True,0.9253
task_00000,finance_domain_model,Simulated Finance Domain Model response for classification in finance.,0.926,0.88,883,0.00378,0.95,False,True,False,True,0.9187
task_00000,healthcare_domain_model,Simulated Healthcare Domain Model response for classification in finance.,0.666,0.98,917,0.0042,0.96,False,True,False,True,0.8687
task_00000,code_specialist_model,Simulated Code Specialist Model response for classification in finance.,0.646,0.64,747,0.00308,0.94,False,True,False,False,0.742
task_00000,cheap_batch_model,Simulated Cheap Batch Model response for classification in finance.,0.316,0.58,577,0.000252,0.93,False,False,False,False,0.6087
task_00000,experimental_canary_model,Simulated Experimental Canary Model response for classification in finance.,0.876,0.84,832,0.00294,0.85,False,False,True,True,0.8553
task_00000,fallback_model,Simulated Fallback Model response for classification in finance.,0.596,0.91,645,0.00126,0.99,False,True,False,False,0.832
task_00001,fast_small_model,Simulated Fast Small Model response for extraction in healthcare.,0.64,0.68,198,0.00042,0.94,False,True,False,False,0.7533
task_00001,balanced_general_model,Simulated Balanced General Model response for extraction in healthcare.,0.77,0.82,585,0.00192,0.96,False,True,False,False,0.85
task_00001,accurate_large_model,Simulated Accurate Large Model response for extraction in healthcare.,0.88,0.87,1215,0.0072,0.95,False,True,False,False,0.9
task_00001,safety_guarded_model,Simulated Safety Guarded Model response for extraction in healthcare.,0.82,0.96,810,0.00456,0.97,False,True,False,False,0.9167
task_00001,finance_domain_model,Simulated Finance Domain Model response for extraction in healthcare.,0.66,0.88,702,0.00324,0.95,False,True,False,False,0.83
task_00001,healthcare_domain_model,Simulated Healthcare Domain Model response for extraction in healthcare.,0.94,0.94,738,0.0036,0.96,False,True,False,False,0.9467
task_00001,code_specialist_model,Simulated Code Specialist Model response for extraction in healthcare.,0.65,0.76,558,0.00264,0.94,False,True,False,False,0.7833
task_00001,cheap_batch_model,Simulated Cheap Batch Model response for extraction in healthcare.,0.5,0.7,378,0.000216,0.93,False,False,False,False,0.71
task_00001,experimental_canary_model,Simulated Experimental Canary Model response for extraction in healthcare.,0.8,0.84,648,0.00252,0.9,False,True,False,False,0.8467
task_00001,fallback_model,Simulated Fallback Model response for extraction in healthcare.,0.6,0.91,450,0.00108,0.99,False,True,False,False,0.8333
task_00002,fast_small_model,Simulated Fast Small Model response for summarization in insurance.,0.644,0.68,209,0.00049,0.94,False,True,False,False,0.7547
task_00002,balanced_general_model,Simulated Balanced General Model response for summarization in insurance.,0.774,0.82,617,0.00224,0.96,False,True,False,False,0.8513
task_00002,accurate_large_model,Simulated Accurate Large Model response for summarization in insurance.,0.884,0.87,1282,0.0084,0.95,False,True,False,False,0.9013
task_00002,safety_guarded_model,Simulated Safety Guarded Model response for summarization in insurance.,0.824,0.96,855,0.00532,0.97,False,True,False,False,0.918
task_00002,finance_domain_model,Simulated Finance Domain Model response for summarization in insurance.,0.844,0.88,741,0.00378,0.95,False,True,False,False,0.8913
task_00002,healthcare_domain_model,Simulated Healthcare Domain Model response for summarization in insurance.,0.944,0.94,779,0.0042,0.96,False,True,False,False,0.948
task_00002,code_specialist_model,Simulated Code Specialist Model response for summarization in insurance.,0.654,0.76,589,0.00308,0.94,False,True,False,False,0.7847
task_00002,cheap_batch_model,Simulated Cheap Batch Model response for summarization in insurance.,0.504,0.7,399,0.000252,0.93,False,False,False,False,0.7113
task_00002,experimental_canary_model,Simulated Experimental Canary Model response for summarization in insurance.,0.884,0.84,684,0.00294,0.9,False,True,False,False,0.8747
task_00002,fallback_model,Simulated Fallback Model response for summarization in insurance.,0.604,0.91,475,0.00126,0.99,False,True,False,False,0.8347
task_00003,fast_small_model,Simulated Fast Small Model response for retrieval_qa in cybersecurity.,0.468,0.56,440,0.000784,0.94,False,False,False,False,0.656
task_00003,balanced_general_model,Simulated Balanced General Model response for retrieval_qa in cybersecurity.,0.778,0.82,870,0.003584,0.96,False,True,False,False,0.8527
task_00003,accurate_large_model,Simulated Accurate Large Model response for retrieval_qa in cybersecurity.,0.888,0.87,1570,0.01344,0.95,False,True,False,False,0.9027
task_00003,safety_guarded_model,Simulated Safety Guarded Model response for retrieval_qa in cybersecurity.,0.828,0.99,1120,0.008512,0.97,False,True,False,False,0.9293
task_00003,finance_domain_model,Simulated Finance Domain Model response for retrieval_qa in cybersecurity.,0.668,0.88,1000,0.006048,0.95,False,True,False,False,0.8327
task_00003,healthcare_domain_model,Simulated Healthcare Domain Model response for retrieval_qa in cybersecurity.,0.678,0.98,1040,0.00672,0.96,False,True,False,False,0.8727
task_00003,code_specialist_model,Simulated Code Specialist Model response for retrieval_qa in cybersecurity.,0.658,0.64,840,0.004928,0.94,False,True,False,False,0.746
